file,volume
D:\\FINANCE PROJECTS\\DATASETS\\archive\JINDALSAW_minute.csv,653698.4334670773
D:\\FINANCE PROJECTS\\DATASETS\\archive\JINDALSTEL_minute.csv,5426725.738444743
D:\\FINANCE PROJECTS\\DATASETS\\archive\JIOFIN_minute.csv,17091164.300107587
D:\\FINANCE PROJECTS\\DATASETS\\archive\JKBANK_minute.csv,533940.3562733401
D:\\FINANCE PROJECTS\\DATASETS\\archive\JKCEMENT_minute.csv,666939.6070015122
D:\\FINANCE PROJECTS\\DATASETS\\archive\JKTYRE_minute.csv,735460.0620997464
D:\\FINANCE PROJECTS\\DATASETS\\archive\JMFINANCIL_minute.csv,820095.1580885571
D:\\FINANCE PROJECTS\\DATASETS\\archive\JPPOWER_minute.csv,1058496.7063401474
D:\\FINANCE PROJECTS\\DATASETS\\archive\JSL_minute.csv,734023.5582534791
D:\\FINANCE PROJECTS\\DATASETS\\archive\JSWCEMENT_minute.csv,1859728.3931487228
D:\\FINANCE PROJECTS\\DATASETS\\archive\JSWENERGY_minute.csv,1884289.5177723456
D:\\FINANCE PROJECTS\\DATASETS\\archive\JSWINFRA_minute.csv,2407377.8698239797
D:\\FINANCE PROJECTS\\DATASETS\\archive\JSWSTEEL_minute.csv,5454482.671018238
D:\\FINANCE PROJECTS\\DATASETS\\archive\JUBLFOOD_minute.csv,4145000.1401991067
D:\\FINANCE PROJECTS\\DATASETS\\archive\JUBLINGREA_minute.csv,1126857.5506250802
D:\\FINANCE PROJECTS\\DATASETS\\archive\JUBLPHARMA_minute.csv,790371.023905894
D:\\FINANCE PROJECTS\\DATASETS\\archive\JWL_minute.csv,858539.3385108373
D:\\FINANCE PROJECTS\\DATASETS\\archive\JYOTHYLAB_minute.csv,374431.6622041226
D:\\FINANCE PROJECTS\\DATASETS\\archive\JYOTICNC_minute.csv,1505144.378361801
D:\\FINANCE PROJECTS\\DATASETS\\archive\KAJARIACER_minute.csv,642271.0209208145
D:\\FINANCE PROJECTS\\DATASETS\\archive\KALYANKJIL_minute.csv,4515881.376152287
D:\\FINANCE PROJECTS\\DATASETS\\archive\KARURVYSYA_minute.csv,632416.1361038008
D:\\FINANCE PROJECTS\\DATASETS\\archive\KAYNES_minute.csv,6372971.253527111
D:\\FINANCE PROJECTS\\DATASETS\\archive\KEC_minute.csv,844185.3729954095
D:\\FINANCE PROJECTS\\DATASETS\\archive\KEI_minute.csv,1103764.669904334
D:\\FINANCE PROJECTS\\DATASETS\\archive\KFINTECH_minute.csv,2483045.6865621298
D:\\FINANCE PROJECTS\\DATASETS\\archive\KIMS_minute.csv,694785.4139290926
D:\\FINANCE PROJECTS\\DATASETS\\archive\KIRLOSBROS_minute.csv,244047.69296353837
D:\\FINANCE PROJECTS\\DATASETS\\archive\KIRLOSENG_minute.csv,340612.391895005
D:\\FINANCE PROJECTS\\DATASETS\\archive\KOTAKBANK_minute.csv,13850558.374445237
D:\\FINANCE PROJECTS\\DATASETS\\archive\KPIL_minute.csv,395854.30899629416
D:\\FINANCE PROJECTS\\DATASETS\\archive\KPITTECH_minute.csv,2611563.5270426665
D:\\FINANCE PROJECTS\\DATASETS\\archive\KPRMILL_minute.csv,414454.11306676955
